Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2019-0357-TUR,2019,0357,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,Akçakoca District (Düzce Province),,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2019,7,17,2019,7,18,7,,220,,220,,,,,,,87.3580067738847,2,,27640,Duzce (Adm2).
2019-0479-TUR,2019,0479,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Istanbul,,,,,,,,6,Richter,40.89,28.173,13:59,,2019,9,26,2019,9,26,1,34,1419,,1453,,,,,,,87.3580067738847,1,3056,,Istanbul (Adm1).
2019-0462-TUR,2019,0462,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,Bakirkoy and Fatih districts (Istanbul),,,,,,,,,Km2,,,,,2019,8,17,2019,8,17,1,,15000,,15000,,,10000,11447,,,87.3580067738847,2,,27891;27900,"Bakirkoy, Fatih (Adm2)."
2020-0005-TUR,2020,0005,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Turkey,TUR,Western Asia,Asia,Mut District; Erdemli District; Antalya Province,,Snow/ice,,,,,,,Kph,,,,,2020,1,7,2020,1,9,2,,300,,300,,,,,,,88.4356408059336,1;2,3024,27863;27866,"Antalya (Adm1). Erdemli, Mut (Adm2)."
2020-0034-TUR,2020,0034,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Sivrice District (Elazig province); Malatya Provinces),,,,,,,,7,Richter,38.39,44.367,20:55,39.081,2020,1,24,2020,1,24,41,1607,69000,,70607,,,,,340000,384460,88.4356408059336,1;2,3071,27770,Malatya (Adm1). Sivrice (Adm2).
2020-0073-TUR,2020,0073,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Van City (Baskale district),,,,,,,,6,Richter,38.543,44.447,09:23,,2020,2,23,2020,2,23,9,50,,3000,3050,,,,,,,88.4356408059336,2,,28336,Baskale (Adm2).
2020-0251-TUR,2020,0251,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Karl?ova, Yedisu, Adakl? districts (Bingöl); Çat district (Erzurum)",,,,,,,,6,Richter,39.421,40.697,17:24,,2020,6,14,2020,6,14,1,35,6600,,6635,,,,,,,88.4356408059336,2,,27620;27622;27627;27781,"Adakli, Cat, Karliova, Yedisu (Adm2)."
2020-0279-TUR,2020,0279,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Özalp, Saray, Gürpinar Districts (Van Province)",,,,,,,,5,Richter,38.558,44.023,13:03,,2020,6,25,2020,6,25,,5,273,,278,,,,,,,88.4356408059336,2,,28342;28346;28347,"Gurpinar, Ozalp, Saray (Adm2)."
2020-0466-TUR,2020,0466,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Izmir Bornova, Bayrakli and Karsiyaka",,,,,,,,7,Richter,37.913,26.779,14:57,,2020,10,30,2020,10,30,115,1034,,5000,6034,,,,,450000,508845,88.4356408059336,2,,27923;27937,"Bornova, Konak (Adm2)."
2020-0253-TUR,2020,0253,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,"Anatolia region, Ankara",,,,,,,,,Km2,,,,,2020,6,11,2020,6,12,1,,750,,750,,,,,,,88.4356408059336,1,3023,,Ankara (Adm1).
2020-0287-TUR,2020,0287,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,"Kestel, Orhangazi, Yenisehir, Iznik, Gürsu districts (Bursa province)",,,,,,,,,Km2,,,,,2020,6,21,2020,6,23,7,,72,,72,,,,,35000,39577,88.4356408059336,2,,27665;27668;27671;27676;27678,"Gursu, Iznik, Kestel, Orhangazi, Yenisehir (Adm2)."
2020-0044-TUR,2020,0044,,Natural,Hydrological,Landslide,Avalanche,,,Turkey,TUR,Western Asia,Asia,Bahçesaray and Çatak districts (Van province),,,,,,,,,,,,,,2020,2,4,2020,2,5,41,84,,,84,,,,,,,88.4356408059336,2,,28335;28338,"Bahcesaray, Catak (Adm2)."
2020-0597-TUR,2020,0597,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,"Samsun, Rize, Trabzon, Do?ankent, Dereli, Ya?lidere (Giresun Province)",,,,,,,,,Km2,,,,,2020,8,22,2020,8,23,16,,,,,,,,,250000,282691,88.4356408059336,1;2,3080;3082;3090,27825;27826;27836,"Rize, Samsun, Trabzon (Adm1). Dereli, Dogankent, Yaglidere (Adm2)."
2021-0501-TUR,2021,0501,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,"Ulus (Bartin); Azdavay, ?nebolu, Bozkurt, Küre and P?narba?? (Kastamonu) Ayanc?k (Sinop)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2021,8,10,2021,8,16,70,360,2300,,2660,,,,,290000,313208,92.5901929309929,2,,27602;27982;27983;27991;27992;27994;28249,"Ayancik, Azdavay, Bozkurt, Inebolu, Kure, Pinarbasi, Ulus (Adm2)."
2021-0454-TUR,2021,0454,,Natural,Climatological,Wildfire,Forest fire,,,Turkey,TUR,Western Asia,Asia,"Antalya Mugla, Mersin, Adana, Osmaniye provinces",,Heat wave,,,,,,,Km2,,,,,2021,7,28,2021,8,7,9,122,560966,,561088,,,,,232000,250566,92.5901929309929,1,3017;3024;3053;3074;3079,,"Adana, Antalya, Icel, Mugla, Osmaniye (Adm1)."
2021-0494-TUR,2021,0494,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,Rize and Artvin,Torrential rains,,,,,,,,Km2,,,,,2021,7,21,2021,7,21,3,,4500,,4500,,,,,23000,24841,92.5901929309929,1,3026;3080,,"Artvin, Rize (Adm1)."
2022-0358-TUR,2022,0358,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,"Karama; Akyurt, Alt?nda?, Çankaya, Keçiören, Yenimahalle, Mamak and Gölba?? districts. (Ankara); Yenifak?l? Yerköy and Bo?azl?yan districts (Yozgat province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,6,11,2022,6,15,3,,,,,,,,,,,100,1,3023;3060;3095,,"Ankara, Karaman, Yozgat (Adm1)."
2022-0765-TUR,2022,0765,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Düzce, Sakarya, Bolu, Zonguldak, Bursa, Istanbul",,,,,,,,6,Richter,40.847,30.967,04:08,,2022,11,23,2022,11,23,2,93,213,,306,,,,,50000,50000,100,1;2,3037;3056;3081;3096,27640,"Bursa, Istanbul, Sakarya, Zonguldak (Adm1). Duzce (Adm2)."
2022-0812-TUR,2022,0812,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,Antalya Province,Heavy rains,,,,,,,,Km2,,,,,2022,12,11,2022,12,12,,,3000,,3000,,,,,,,100,1,3024,,Antalya (Adm1).
2022-0365-TUR,2022,0365,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,"Ankara; Denizli, Burdur, Sivas, Karaman, Yozgat provinces",Heavy rains,,,,,,,,Km2,,,,,2022,6,3,2022,6,11,,,,,,,,,,,,100,1,3023;3036;3041;3060;3087;3095,,"Ankara, Burdur, Denizli, Karaman, Sivas, Yozgat (Adm1)."
2023-0054-TUR,2023,0054,EQ-2023-000015,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Gaziantep; Pazarcik District (Kahramanmaras); Sanliurfa, Diyarbakir, Adana, Adiyaman, Osmaniye, Hatay, Kilis, Elazig, Malatya",,Fire,,,Yes,Yes,,8,Richter,38.055,36.51,04:17,,2023,2,6,2023,2,6,50096,107204,9100000,,9207204,100000000,,,,34000000,,,1;2,3017;3018;3042;3044;3048;3052;3064;3071;3079;3083,27957,"Adana, Adiyaman, Diyarbakir, Elazig, Gaziantep, Hatay, Kilis, Malatya, Osmaniye, Sanliurfa (Adm1). Pazarcik (Adm2)."
2023-0252-TUR,2023,0252,,Natural,Meteorological,Storm,Convective storm,Tornado,,Turkey,TUR,Western Asia,Asia,Pazarcik City (southern Kahramanmaras Province),,,,,,,,,Kph,,,,,2023,4,20,2023,4,20,1,50,504,,554,,,,,,,,,,,
2023-0091-TUR,2023,0091,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Defne District (Hatay Province, southern Türkiye)",,,,,,,,6,Richter,36.159,36.034,20:04,,2023,2,20,2023,2,20,6,294,,,294,,,,,,,,,,,
2023-0107-TUR,2023,0107,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Yesilyurt District (Malatya province),,,,,,,,5,Richter,,,12:04,,2023,2,27,2023,2,27,1,110,,90,200,,,,,,,,2,,28106,Yesilyurt (Adm2).
2023-0141-TUR,2023,0141,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,Adiyaman and Sanliurfa provinces,,,,,,,,,Km2,,,,,2023,3,14,2023,3,15,19,,,,,,,,,,,,1,3018;3083,,"Adiyaman, Sanliurfa (Adm1)."
